battery_kwh,metric,bdew,real_count,real_min,real_p05,real_p25,real_median,real_mean,real_p75,real_p95,real_max,real_std,bdew_percentile_rank
8,eigenverbrauch_kwh,4183.347,27,2833.057,3288.976,3832.404,3904.258,3836.449,3974.56,4039.282,4129.27,262.713,100
8,eigenverbrauchsquote_pct,40.66,27,27.536,31.967,37.249,37.947,37.288,38.631,39.26,40.134,2.553,100
8,autarkie_pct,83.667,27,56.661,65.78,76.648,78.085,76.729,79.491,80.785,82.585,5.254,100
8,netzbezug_kwh,816.653,27,870.73,960.718,1025.44,1095.742,1163.551,1167.597,1711.024,2166.943,262.713,0
8,einspeisung_kwh,5868.862,27,5931.014,6015.531,6101.101,6159.264,6229.93,6230.012,6797.55,7253.702,269.2,0
9,eigenverbrauch_kwh,4253.506,27,2856.237,3351.496,3910.307,3975.921,3904.72,4033.772,4117.849,4197.626,270.269,100
9,eigenverbrauchsquote_pct,41.342,27,27.761,32.575,38.006,38.644,37.952,39.206,40.023,40.799,2.627,100
9,autarkie_pct,85.07,27,57.125,67.03,78.206,79.518,78.094,80.676,82.357,83.953,5.405,100
9,netzbezug_kwh,746.494,27,802.374,882.151,966.228,1024.079,1095.28,1089.693,1648.504,2143.763,270.269,0
9,einspeisung_kwh,5791.011,27,5855.681,5929.232,6033.249,6079.404,6155.061,6151.713,6729.477,7226.953,277.595,0
10,eigenverbrauch_kwh,4305.629,27,2875.562,3418.769,3975.082,4041.592,3971.025,4092.345,4183.844,4254.252,276.709,100
10,eigenverbrauchsquote_pct,41.848,27,27.949,33.229,38.635,39.282,38.596,39.775,40.665,41.349,2.689,100
10,autarkie_pct,86.113,27,57.511,68.375,79.502,80.832,79.42,81.847,83.677,85.085,5.534,100
10,netzbezug_kwh,694.371,27,745.748,816.156,907.656,958.408,1028.975,1024.919,1581.231,2124.438,276.709,0
10,einspeisung_kwh,5733.622,27,5793.403,5856.989,5961.921,6006.653,6082.7,6081.431,6656.348,7204.208,284.57,0
11,eigenverbrauch_kwh,4342.345,27,2890.59,3464.453,4020.005,4088.525,4015.453,4133.897,4231.817,4293.484,280.903,100
11,eigenverbrauchsquote_pct,42.205,27,28.095,33.673,39.073,39.738,39.028,40.18,41.131,41.73,2.73,100
11,autarkie_pct,86.847,27,57.812,69.289,80.4,81.77,80.309,82.678,84.637,85.87,5.618,100
11,netzbezug_kwh,657.655,27,706.516,768.183,866.103,911.475,984.547,979.996,1535.547,2109.41,280.903,0
11,einspeisung_kwh,5692.359,27,5750.278,5804.32,5911.305,5955.318,6033.898,6032.445,6606.65,7186.539,289.15,0
12,eigenverbrauch_kwh,4376.252,27,2901.723,3505.357,4057.387,4124.351,4051.635,4170.929,4272.719,4326.075,284.026,100
12,eigenverbrauchsquote_pct,42.535,27,28.203,34.07,39.436,40.086,39.38,40.539,41.529,42.047,2.761,100
12,autarkie_pct,87.525,27,58.034,70.108,81.148,82.487,81.033,83.419,85.455,86.522,5.681,100
12,netzbezug_kwh,623.748,27,673.925,727.281,829.071,875.649,948.365,942.613,1494.643,2098.277,284.026,0
12,einspeisung_kwh,5654.127,27,5714.543,5759.361,5873.997,5914.81,5994.041,5994.657,6562.124,7173.07,292.539,0
13,eigenverbrauch_kwh,4407.881,27,2911.928,3539.47,4086.687,4155.617,4082.43,4200.154,4306,4353.839,286.724,100
13,eigenverbrauchsquote_pct,42.842,27,28.302,34.402,39.721,40.39,39.679,40.823,41.852,42.317,2.787,100
13,autarkie_pct,88.158,27,58.239,70.79,81.733,83.112,81.649,84.004,86.12,87.077,5.734,100
13,netzbezug_kwh,592.119,27,646.161,694,799.847,844.383,917.57,913.313,1460.53,2088.072,286.724,0
